W W W W W W W W W W E E W W W W W W W W W W W E E W W W W W W W W W W
W F F _ _ _ _ _ _ _ _ _ _ _ _ _ _ W _ _ _ _ _ _ _ _ _ _ _ _ _ _ F F W
W F F _ _ _ _ _ _ _ _ _ _ _ _ _ _ W _ _ _ _ _ _ _ _ _ _ _ _ _ _ F F W
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W
E _ _ _ _ _ _ _ _ F F F _ _ _ _ _ W _ _ _ _ _ F F F _ _ _ _ _ _ _ _ E
E _ _ _ _ _ _ _ _ F F F _ _ _ _ _ W _ _ _ _ _ F F F _ _ _ _ _ _ _ _ E
W _ _ _ _ _ _ _ _ F F F _ _ _ _ _ W _ _ _ _ _ F F F _ _ _ _ _ _ _ _ W
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W
W W W W W W W W W W W _ _ _ _ _ _ _ _ _ _ _ _ _ W W W W W W W W W W W
W F F F F _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ F F F F W
W F _ _ F _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ F W
W F _ _ F _ _ _ _ _ _ _ _ _ _ F F F F F _ _ _ _ _ _ _ _ _ _ F F F F W
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ F F F F F _ _ _ _ _ _ _ _ _ _ _ _ _ _ W
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ E
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ E
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W
W _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ W
W F _ _ F _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ F F F F W
W F _ _ F _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ F W
W F F F F _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ F F F F W
W W W W D W W W W W _ _ _ _ _ _ _ W _ _ _ _ _ _ _ W W W W D W W W W W
W _ _ _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ _ _ _ _ _ _ W
W _ _ _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ _ _ _ _ _ _ W
W _ _ _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ F F F F _ _ W
W _ _ _ _ _ _ _ _ D _ _ _ _ _ _ _ W _ _ _ _ _ _ _ D _ _ F F F F _ _ W
W _ _ _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ _ _ _ _ _ _ W
W F F _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ _ _ _ _ F F W
W F F _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ _ _ _ _ _ W _ _ _ _ _ _ F F W
W W W W W W W W W W W W E E E W W W W W E E E W W W W W W W W W W W W
